Date,UAL,V,LYFT,COST,ABNB,AMZN,COUR,UBER,AXP,MAR,TWTR,NFLX,AAL,ZM,DAL,MA,HLT,WMT
2019-02-13,88.580002,143.490005,0.0,212.800003,0.0,1640.0,0.0,0.0,107.559998,118.860001,31.120001,351.769989,36.209999,0.0,50.41,220.539993,79.370003,97.940002
2019-02-14,88.150002,143.160004,0.0,213.839996,0.0,1622.650024,0.0,0.0,106.620003,118.620003,30.959999,359.070007,36.110001,0.0,50.48,219.809998,80.160004,98.519997
2019-02-15,88.309998,144.910004,0.0,216.470001,0.0,1607.949951,0.0,0.0,107.379997,121.050003,31.23,356.869995,35.049999,0.0,51.080002,222.110001,81.75,99.989998
2019-02-19,89.239998,144.440002,0.0,218.119995,0.0,1627.579956,0.0,0.0,106.5,122.029999,31.65,361.920013,35.470001,0.0,51.82,220.589996,81.389999,102.199997
2019-02-20,88.5,144.729996,0.0,217.110001,0.0,1622.099976,0.0,0.0,106.779999,126.970001,31.370001,359.910004,35.060001,0.0,51.240002,221.110001,83.339996,99.879997
2019-02-21,88.839996,144.0,0.0,215.229996,0.0,1619.439941,0.0,0.0,106.610001,127.370003,30.76,356.970001,34.98,0.0,51.48,219.309998,83.25,99.389999
2019-02-22,89.43,145.869995,0.0,216.289993,0.0,1631.560059,0.0,0.0,107.440002,128.839996,31.709999,363.019989,35.490002,0.0,51.52,223.320007,85.029999,99.550003
2019-02-25,89.580002,146.059998,0.0,217.050003,0.0,1633.0,0.0,0.0,106.93,128.479996,31.99,363.910004,35.900002,0.0,51.41,223.320007,83.550003,99.120003
2019-02-26,89.529999,147.039993,0.0,217.610001,0.0,1636.400024,0.0,0.0,106.940002,128.570007,31.01,364.970001,36.25,0.0,51.119999,224.0,83.489998,98.690002
2019-02-27,87.599998,147.220001,0.0,218.050003,0.0,1641.089966,0.0,0.0,107.419998,126.93,30.41,362.869995,35.689999,0.0,50.43,224.570007,83.489998,98.110001
2019-02-28,87.809998,148.119995,0.0,218.740005,0.0,1639.829956,0.0,0.0,107.739998,125.269997,30.780001,358.100006,35.630001,0.0,49.580002,224.770004,83.099998,98.989998
2019-03-01,86.919998,149.470001,0.0,219.440002,0.0,1671.72998,0.0,0.0,108.900002,124.449997,30.620001,357.320007,34.639999,0.0,48.959999,227.25,83.779999,97.93
2019-03-04,84.309998,147.960007,0.0,218.410004,0.0,1696.170044,0.0,0.0,109.0,123.940002,30.5,351.040009,33.720001,0.0,48.790001,226.289993,83.379997,97.849998
2019-03-05,85.050003,147.949997,0.0,219.820007,0.0,1692.430054,0.0,0.0,108.849998,125.220001,31.030001,354.299988,33.23,0.0,49.720001,226.220001,84.010002,98.339996
2019-03-06,84.330002,147.809998,0.0,219.229996,0.0,1668.949951,0.0,0.0,108.980003,125.120003,30.799999,359.609985,32.759998,0.0,49.709999,224.470001,83.959999,98.260002
2019-03-07,82.610001,146.830002,0.0,216.789993,0.0,1625.949951,0.0,0.0,107.860001,122.220001,30.120001,352.600006,32.220001,0.0,49.59,222.410004,82.919998,97.449997
2019-03-08,82.400002,147.350006,0.0,227.820007,0.0,1620.800049,0.0,0.0,107.980003,120.699997,30.040001,349.600006,31.91,0.0,49.59,221.869995,82.449997,97.589996
2019-03-11,82.379997,150.669998,0.0,229.690002,0.0,1670.619995,0.0,0.0,109.559998,120.25,30.870001,358.859985,32.049999,0.0,51.119999,225.639999,82.800003,98.480003
2019-03-12,79.849998,151.729996,0.0,232.960007,0.0,1673.099976,0.0,0.0,110.43,120.690002,31.16,356.269989,30.92,0.0,50.669998,226.940002,83.410004,98.370003
2019-03-13,81.209999,152.470001,0.0,236.380005,0.0,1690.810059,0.0,0.0,112.139999,120.190002,31.299999,361.209991,31.84,0.0,51.02,228.5,83.669998,99.029999
2019-03-14,81.489998,154.199997,0.0,233.839996,0.0,1686.219971,0.0,0.0,112.349998,119.620003,31.030001,358.820007,32.130001,0.0,50.939999,229.509995,85.0,98.220001
2019-03-15,81.690002,155.460007,0.0,233.600006,0.0,1712.359985,0.0,0.0,113.519997,122.32,31.219999,361.459991,31.43,0.0,51.189999,231.169998,85.760002,98.419998
2019-03-18,80.730003,154.960007,0.0,236.589996,0.0,1742.150024,0.0,0.0,113.550003,124.959999,31.08,363.440002,31.379999,0.0,50.740002,230.389999,86.209999,99.660004
2019-03-19,81.339996,154.589996,0.0,237.050003,0.0,1761.849976,0.0,0.0,112.669998,125.75,31.27,358.779999,31.59,0.0,50.959999,231.009995,85.699997,99.849998
2019-03-20,79.830002,153.75,0.0,236.979996,0.0,1797.27002,0.0,0.0,110.769997,123.669998,32.57,375.220001,30.959999,0.0,49.869999,229.889999,84.919998,98.639999
2019-03-21,81.0,155.800003,0.0,239.539993,0.0,1819.26001,0.0,0.0,111.82,125.059998,32.610001,377.869995,31.450001,0.0,50.299999,235.869995,85.790001,99.059998
2019-03-22,79.629997,153.070007,0.0,237.559998,0.0,1764.77002,0.0,0.0,109.459999,124.5,33.02,361.01001,30.57,0.0,49.759998,230.759995,84.57,98.279999
2019-03-25,78.120003,153.029999,0.0,236.970001,0.0,1774.26001,0.0,0.0,109.040001,123.660004,32.59,366.230011,30.209999,0.0,49.029999,230.419998,84.019997,98.169998
2019-03-26,77.489998,155.300003,0.0,239.070007,0.0,1783.76001,0.0,0.0,109.5,123.559998,33.060001,359.970001,30.209999,0.0,49.09,233.289993,83.5,98.32
2019-03-27,78.529999,154.220001,0.0,239.410004,0.0,1765.699951,0.0,0.0,108.980003,122.169998,32.279999,353.369995,30.940001,0.0,49.970001,232.520004,82.449997,97.209999
