Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,91.639999,93.650002,91.639999,93.339996,88.933052,8152700
2019-01-03,93.209999,94.709999,92.699997,92.860001,88.475708,8277300
2019-01-04,93.209999,93.660004,92.690002,93.440002,89.028336,8029100
2019-01-07,93.620003,95.169998,93.180000,94.540001,90.076408,7789700
2019-01-08,95.059998,95.760002,93.910004,95.199997,90.705223,7200900
2019-01-09,95.709999,96.139999,94.769997,94.889999,90.409874,6272300
2019-01-10,93.879997,94.980003,93.120003,94.959999,90.476570,9396300
2019-01-11,94.989998,95.290001,94.550003,94.839996,90.362244,5394600
2019-01-14,94.480003,95.449997,94.279999,94.949997,90.467049,7085100
2019-01-15,95.470001,96.599998,95.379997,96.250000,91.705658,7058200
2019-01-16,95.930000,96.860001,95.830002,96.349998,91.800949,5410000
2019-01-17,96.320000,97.209999,96.160004,96.739998,92.172516,5614500
2019-01-18,96.949997,98.199997,96.849998,97.730003,93.115776,6120600
2019-01-22,97.150002,98.430000,96.779999,97.489998,92.887115,8063200
2019-01-23,98.870003,99.349998,97.529999,98.709999,94.049515,8345800
2019-01-24,98.199997,98.459999,96.430000,98.360001,93.716057,7609700
2019-01-25,98.750000,98.910004,96.750000,96.940002,92.363091,7218200
2019-01-28,96.529999,97.070000,96.080002,97.059998,92.477417,5875800
2019-01-29,96.769997,97.160004,96.510002,96.709999,92.143936,5253400
2019-01-30,96.680000,96.800003,94.260002,94.800003,90.324127,11849300
2019-01-31,94.629997,96.870003,94.629997,95.830002,91.305489,14723000
2019-02-01,95.919998,96.000000,93.110001,93.860001,89.428513,12591900
2019-02-04,93.860001,94.769997,93.349998,94.769997,90.295540,7268600
2019-02-05,95.250000,95.940002,95.019997,95.599998,91.086349,6099900
2019-02-06,95.430000,96.010002,95.220001,95.639999,91.124466,4264900
2019-02-07,95.110001,96.820000,95.000000,96.730003,92.163017,7010100
2019-02-08,96.339996,96.690002,95.139999,95.580002,91.067307,6169200
2019-02-11,95.650002,96.349998,95.639999,96.199997,91.658020,5542800
2019-02-12,96.820000,97.169998,96.500000,96.970001,92.391663,5881300
2019-02-13,97.300003,98.000000,97.089996,97.940002,93.315880,5458500
2019-02-14,97.680000,99.199997,97.019997,98.519997,93.868484,7200800
2019-02-15,98.980003,100.000000,98.860001,99.989998,95.269073,9481000
2019-02-19,102.379997,104.180000,102.070000,102.199997,97.374725,20697300
2019-02-20,101.809998,102.339996,98.650002,99.879997,95.164268,17631800
2019-02-21,99.660004,99.919998,98.910004,99.389999,94.697403,6413200
2019-02-22,99.820000,100.160004,99.139999,99.550003,94.849854,8086900
2019-02-25,100.120003,100.129997,99.050003,99.120003,94.440155,9235000
2019-02-26,99.019997,99.059998,97.870003,98.690002,94.030464,8488100
2019-02-27,98.120003,98.389999,97.589996,98.110001,93.477852,7902300
2019-02-28,98.110001,99.470001,97.769997,98.989998,94.316299,11375900
2019-03-01,99.470001,99.559998,97.120003,97.930000,93.306351,10352500
2019-03-04,98.120003,98.589996,97.370003,97.849998,93.230125,7683800
2019-03-05,98.129997,99.190002,98.089996,98.339996,93.696976,6119300
2019-03-06,98.269997,99.000000,97.860001,98.260002,93.620758,4696600
2019-03-07,97.709999,98.199997,97.239998,97.449997,92.848999,6126600
2019-03-08,97.550003,98.419998,97.000000,97.589996,92.982391,5659000
2019-03-11,98.040001,98.580002,97.820000,98.480003,93.830383,5345300
2019-03-12,98.529999,98.739998,98.050003,98.370003,93.725571,5070500
2019-03-13,98.699997,99.349998,98.389999,99.029999,94.354408,5482300
2019-03-14,98.410004,98.430000,97.589996,98.220001,94.086197,4925800
